0 0         0     0.037 -0.294056         0    -0.037 -0.294056
0 -5.96719e-07         0 0.0370006 -0.294056          0 -0.0369994  -0.294056
0 -2.38879e-06         0 0.0370024 -0.294056          0 -0.0369976  -0.294056
0 -5.38224e-06         0 0.0370054 -0.294056          0 -0.0369946  -0.294056
0 -9.58702e-06         0 0.0370096 -0.294056          0 -0.0369904  -0.294056
0 -1.50172e-05         0  0.037015 -0.294056         0 -0.036985 -0.294056
0 -2.1691e-05         0 0.0370217 -0.294056          0 -0.0369783  -0.294056
0 -2.96304e-05         0 0.0370296 -0.294056          0 -0.0369704  -0.294056
0 -3.88622e-05         0 0.0370389 -0.294056          0 -0.0369611  -0.294056
0 -4.9417e-05         0 0.0370494 -0.294056          0 -0.0369506  -0.294056
0 -6.13302e-05         0 0.0370613 -0.294056          0 -0.0369387  -0.294056
0 -7.46413e-05         0 0.0370746 -0.294056          0 -0.0369254  -0.294056
0 -8.9395e-05         0 0.0370894 -0.294056          0 -0.0369106  -0.294056
0 -0.00010564         0 0.0371056 -0.294056          0 -0.0368944  -0.294056
0 -0.000123432         0 0.0371234 -0.294056          0 -0.0368766  -0.294056
0 -0.000142828         0 0.0371428 -0.294056          0 -0.0368572  -0.294056
0 -0.000163895         0 0.0371639 -0.294056          0 -0.0368361  -0.294056
0 -0.000186702         0 0.0371867 -0.294056          0 -0.0368133  -0.294056
0 -0.000211325         0 0.0372113 -0.294056          0 -0.0367887  -0.294056
0 -0.000237847         0 0.0372378 -0.294056          0 -0.0367622  -0.294056
0 -0.000266356         0 0.0372664 -0.294056          0 -0.0367336  -0.294056
0 -0.000296947         0 0.0372969 -0.294056          0 -0.0367031  -0.294056
0 -0.000329723         0 0.0373297 -0.294056          0 -0.0366703  -0.294056
0 -0.000364792         0 0.0373648 -0.294056          0 -0.0366352  -0.294056
0 -0.000402272         0 0.0374023 -0.294056          0 -0.0365977  -0.294056
0 -0.000442288         0 0.0374423 -0.294056          0 -0.0365577  -0.294056
0 -0.000484973         0  0.037485 -0.294056         0 -0.036515 -0.294056
0 -0.00053047         0 0.0375305 -0.294056          0 -0.0364695  -0.294056
0 -0.000578931         0 0.0375789 -0.294056          0 -0.0364211  -0.294056
0 -0.000630516         0 0.0376305 -0.294056          0 -0.0363695  -0.294056
0 -0.000685399         0 0.0376854 -0.294056          0 -0.0363146  -0.294056
0 -0.000743763         0 0.0377438 -0.294056          0 -0.0362562  -0.294056
0 -0.000805802         0 0.0378058 -0.294056          0 -0.0361942  -0.294056
0 -0.000871724         0 0.0378717 -0.294056          0 -0.0361283  -0.294056
0 -0.000941748         0 0.0379417 -0.294056          0 -0.0360583  -0.294056
0 -0.00101611         0 0.0380161 -0.294056          0 -0.0359839  -0.294056
0 -0.00109505         0 0.0380951 -0.294056          0 -0.0359049  -0.294056
0 -0.00117884         0 0.0381788 -0.294056          0 -0.0358212  -0.294056
0 -0.00126776         0 0.0382678 -0.294056          0 -0.0357322  -0.294056
0 -0.0013621         0 0.0383621 -0.294056          0 -0.0356379  -0.294056
0 -0.00146219         0 0.0384622 -0.294056          0 -0.0355378  -0.294056
0 -0.00156834         0 0.0385683 -0.294056          0 -0.0354317  -0.294056
0 -0.00168092         0 0.0386809 -0.294056          0 -0.0353191  -0.294056
0 -0.00180031         0 0.0388003 -0.294056          0 -0.0351997  -0.294056
0 -0.00192689         0 0.0389269 -0.294056          0 -0.0350731  -0.294056
0 -0.0020611         0 0.0390611 -0.294056          0 -0.0349389  -0.294056
0 -0.00220338         0 0.0392034 -0.294056          0 -0.0347966  -0.294056
0 -0.0023542         0 0.0393542 -0.294056          0 -0.0346458  -0.294056
0 -0.00251408         0 0.0395141 -0.294056          0 -0.0344859  -0.294056
0 -0.00268354         0 0.0396835 -0.294056          0 -0.0343165  -0.294056
0 -0.00286314         0 0.0398631 -0.294056          0 -0.0341369  -0.294056
0 -0.0030535         0 0.0400535 -0.294056          0 -0.0339465  -0.294056
0 -0.00325524         0 0.0402552 -0.294056          0 -0.0337448  -0.294056
0 -0.00346903         0  0.040469 -0.294056         0 -0.033531 -0.294056
0 -0.00369559         0 0.0406956 -0.294056          0 -0.0333044  -0.294056
0 -0.00393568         0 0.0409357 -0.294056          0 -0.0330643  -0.294056
0 -0.0041901         0 0.0411901 -0.294056          0 -0.0328099  -0.294056
0 -0.00445969         0 0.0414597 -0.294056          0 -0.0325403  -0.294056
