[INFO] [launch]: All log files can be found below /home/xubu22/.ros/log/2023-06-23-23-53-56-771833-xubu22-Prestige-15-A10SC-21732
[INFO] [launch]: Default logging verbosity is set to INFO
WARNING: No valid Webots directory specified in `ROS2_WEBOTS_HOME` and `WEBOTS_HOME`, fallback to default installation folder /usr/local/webots.
[INFO] [webots-1]: process started with pid [21733]
[INFO] [driver-2]: process started with pid [21735]
[INFO] [walking_pattern_generator-3]: process started with pid [21738]
[driver-2] Cannot connect to Webots instance on socket "/tmp/webots-1234/ipc/ROBOTIS_OP2/extern", retrying for another 50 seconds...
[driver-2] 0,0,-0.037
[driver-2] 0.8,0,0.037
[driver-2] 1.6,0,-0.037
[driver-2] 2.4,0,0.037
[driver-2] 3.2,0,-0.037
[driver-2] 4,0,0.037
[driver-2] 
[driver-2] -0.037
[driver-2] 140 0.81 1.4
[driver-2] 141 0.81 1.41
[driver-2] 142 0.81 1.42
[driver-2] 143 0.81 1.43
[driver-2] 144 0.81 1.44
[driver-2] 145 0.81 1.45
[driver-2] 146 0.81 1.46
[driver-2] 147 0.81 1.47
[driver-2] 148 0.81 1.48
[driver-2] 149 0.81 1.49
[driver-2] 150 0.81 1.5
[driver-2] 151 0.81 1.51
[driver-2] 152 0.81 1.52
[driver-2] 153 0.81 1.53
[driver-2] 154 0.81 1.54
[driver-2] 155 0.81 1.55
[driver-2] 156 0.81 1.56
[driver-2] 157 0.81 1.57
[driver-2] 158 0.81 1.58
[driver-2] 159 0.81 1.59
[driver-2] 160 0.81 1.6
[driver-2] 161 0.81 1.61
[driver-2] 162 0.81 1.62
[driver-2] 163 0.81 1.63
[driver-2] 164 0.81 1.64
[driver-2] 165 0.81 1.65
[driver-2] 166 0.81 1.66
[driver-2] 167 0.81 1.67
[driver-2] 168 0.81 1.68
[driver-2] 169 0.81 1.69
[driver-2] 170 0.81 1.7
[driver-2] 171 0.81 1.71
[driver-2] 172 0.81 1.72
[driver-2] 173 0.81 1.73
[driver-2] 174 0.81 1.74
[driver-2] 175 0.81 1.75
[driver-2] 176 0.81 1.76
[driver-2] 177 0.81 1.77
[driver-2] 178 0.81 1.78
[driver-2] 179 0.81 1.79
[driver-2] 180 0.81 1.8
[driver-2] 181 0.81 1.81
[driver-2] 182 0.81 1.82
[driver-2] 183 0.81 1.83
[driver-2] 184 0.81 1.84
[driver-2] 185 0.81 1.85
[driver-2] 186 0.81 1.86
[driver-2] 187 0.81 1.87
[driver-2] 188 0.81 1.88
[driver-2] 189 0.81 1.89
[driver-2] 190 0.81 1.9
[driver-2] 191 0.81 1.91
[driver-2] 192 0.81 1.92
[driver-2] 193 0.81 1.93
[driver-2] 194 0.81 1.94
[driver-2] 195 0.81 1.95
[driver-2] 196 0.81 1.96
[driver-2] 197 0.81 1.97
[driver-2] 198 0.81 1.98
[driver-2] 199 0.81 1.99
[driver-2] 200 0.81 2
[driver-2] 201 0.81 2.01
[driver-2] 202 0.81 2.02
[driver-2] 203 0.81 2.03
[driver-2] 204 0.81 2.04
[driver-2] 205 0.81 2.05
[driver-2] 206 0.81 2.06
[driver-2] 207 0.81 2.07
[driver-2] 208 0.81 2.08
[driver-2] 209 0.81 2.09
